id	word_list_id	word	old_translation	new_translation
16	1	persistent	坚持的， 不屈不挠的； 持续不断的； 反复出现的	adj. 坚持的；顽固的；执意的；你怎么对付那些志在必得、一直纠缠下去的推销员；惯犯；她想要得到什么东西时会非常执著
18	1	conceal	把…隐藏起来， 掩盖， 隐瞒	v. 正式用语；隐藏；隐瞒；掩盖；那些画被隐藏在厚厚的灰泥层下面；蒂姆几乎掩饰不住自己的失望；她坐下来以不让人看出她在发抖；他的死瞒了很长时间都没告诉她
19	1	audience	听众， 观众， 读者	n. 戏剧、音乐会或演讲等的）观众，听众；观众鼓掌；分钟；这场辩论当着现场观众的面进行电视直播；万名观众；观众们投票评选他们最喜爱的表演
20	1	meanwhile	与此同时	adv. 非正式用语；同时；与此同时；让蛋糕完全冷却；同时，制作配料；预计风暴今天将向北移动；与此同时，人们对失踪冲浪者的担忧与日俱增
21	1	possess	占用， 拥有	v. 正式用语；有；拥有；他被控无照拥有猎枪；恐怕我只有这一个箱子；这家画廊藏有那位画家的一些早期作品；比利时是第一个拥有成熟铁路网络的欧洲国家
22	1	competent	有能力的， 能胜任的	adj. 足以胜任的；有能力的；称职的；他工作十分称职；要确保这家公司有能力完成这项工作；我觉得没有资格发表评论；她对工作胜任有余
23	1	investment	投资， 投资额； 投入	n. 投资；外国；私人投资；资本；商业；房产投资
24	1	neutral	中立的； 中性的	n. 车辆；汽车排挡）空挡；将车的排挡置于空挡位；分歧；战争；中立者；中立国；色彩
25	1	scratch	抓，搔，扒；刮，擦；刻出；抓痕， 划痕； 抓， 搔， 刮	adj. 仓促拼凑的；一支仓促组建的队伍；尤指高尔夫球；无让杆的；无差点的；参加无让杆比赛的球手
26	1	optional	可以任选的	adj. 可选择的；选修的；有些课程是必修的，另一些是选修的；这一型号有一系列可供选择的附件，价格另计；这些功能可以作为软件包的可选部分提供
27	1	require	需要； 要求； 命令	需要；依靠；依赖；这些宠物需要悉心照顾；破译密码需要专家；这种情况得紧急处理；你还需要什么吗；这些植物必须养在阴凉处
28	1	circular	圆的；循环的；兜圈子的；通知， 通告	adj. 圆形的；环形的；圆的；圆形建筑物；他的眼睛圆溜溜的，一眨不眨，脑袋也圆圆的；这个火山口有；英里宽，大致呈圆形
30	1	click	发出咔嗒声；点击；咔嗒声	n. 对计算机鼠标或触摸板的）点击，单击；点击鼠标；我只需要点击几下就可以找到我要找的东西；笨重的界面需要太多的点击才能完成任何事情；双击文件名；现在只要点击鼠标即可获得大量信息
31	1	fashionable	流行的， 时髦的	adj. 流行的；时兴的；时髦的；时髦的服装；观念；式样；他被他那些更时髦的朋友嘲笑；现在又开始流行蓄长发了
32	1	devise	设计， 发明	v. 发明；设计；想出；控制城市交通的新系统已经设计出来
33	1	apparent	表面上的， 明显的	显而易见；明白易懂；显然；他们的忠诚显而易见；接着，不知什么原因，火车突然停了下来；从面容上一眼就可以看出她确实心绪烦乱；很快大家就看出来他不会唱歌；很明显，她有这种写作的天赋
34	1	journalist	新闻工作者， 新闻记者	n. 新闻记者；新闻工作者；自由记者；她是法国一家报社的调查记者；这位部长告诉记者他不会辞职
35	1	exposure	暴露， 揭露； 曝光	n. 面临，遭受（危险或不快）；长时间接触有害辐射；在高暴露量下，该化学物质会影响肝脏和肾脏；金融；公司面对外汇市场的风险
36	1	temper	韧度；心情，情绪；调和， 使缓和； 【冶】使回火	v. 正式用语；使缓和；使温和；法外尚需施恩；一阵轻风为晴朗炎热的天气带去些许凉意；他的喜悦被遗憾冲淡了；术语
37	1	protective	保护的， 防护的	adj. 保护的；防护的；工人应该穿着全套防护服；清漆防护层；臭氧层是抵御太阳射线的保护层；出于（对…的）保护；他呵护地用胳膊搂住她的肩膀
38	1	sideways	从一边， 向一边； 在一边； 斜着， 侧身	adv. 往（或向、从）一侧；他斜着眼看她；卡车横着滑到公路另一侧；比喻；他平级调动工作了；侧着；侧面朝前；adj. 往（或向、从）一侧；她斜眼看了他一下；侧移
39	1	multicultural	融合多种文化的	adj. 多元文化的；多种文化融合的；我们生活在一个多元文化的社会中；多种文化融合的教育方法；词语搭配；赛跑比赛；种族和社会
40	1	object	反对， 不赞成；实物， 物体； 目的， 目标； 对象， 客体； 宾语	v. 不同意；不赞成；反对；如果没有人反对，我们就把会议推迟到下周；地方议会的议员强烈反对出售这块土地的计划；许多当地的居民反对兴建新机场；我非常反对收停车费；谁会反对人们开心玩乐呢
41	1	humble	谦逊的； 地位低下的； 简陋的	v. 贬低；使感到卑微；她的大度使他觉得自己渺小；一次令人惭愧的经历；轻松打败（尤指强大的对手）；这位世界冠军昨晚三个回合就被轻松击败；低声下气；谦逊；虚心
43	1	harbour	海港，港口；庇护； 心怀	n. 海）港；港口；港湾；港湾里停泊着几条船；进入；离开港口；港湾；港口；突堤；比喻；v. 窝藏，庇护（罪犯等）；警方相信一定有人窝藏了杀人犯；怀有，心怀（尤指负面感情或想法）；纵火犯可能对公司怀恨在心；她开始对这个决定产生怀疑；怀有报复的念头
44	1	independent	独立的， 自主的； 无偏见的； 不相关联的	国家；独立的；自主的；自治的；独立国家；世纪；年代新独立的中亚共和国；莫桑比克于
45	1	carriage	客车厢， 四轮马车	n. 两者均用于英式英语；火车的）客车厢；铁路客车厢
47	1	infinite	无限的； 无穷的	adj. 极大的；无法衡量的；数不清的植物种类；有无比耐心的教师；反语；公司以无比的智慧决定关掉职工食堂；多得几乎数不清的色彩
48	1	concede	承认， 承认…为真； 承认失败； 允许， 让予； 让步， 认输	v. 在否认或拒不承认后）承认（某事属实、合乎逻辑等）；不错；她勉强承认道；他被迫承认可能会有困难；我得承认这件事情有它的逻辑；他不情愿地向我承认了这一点
49	1	elect	选举， 推选； 选择	v. 选举；推选；选民将于明年；日选出新总统；新选；民选的政府；民选代表
50	1	weekly	每周；每周的	adj. 每周的；周会；周刊；adv. 每周的；雇员按周领工资；这份报纸每周出版两期；n. 周报；周刊；大多数发行周刊的人已经是周刊出版商了；男性周刊的读者群目前正在扩大
51	1	result	发生； 结果；结果；成果；比分	后果；结果；你的干预得到满意的结果了吗；产生；取得结果；公司倒闭的直接原因是经营不善；这本书是
52	1	golf	高尔夫球运动	n. 高尔夫球运动；我每个周末都打高尔夫球；他喜欢星期天的上午打一场高尔夫球；文化；高尔夫最早于；世纪在苏格兰发展起来，但现在世界各地的职业和业余选手都参与这项运动
53	1	selfish	自私的， 利己的	adj. 贬义词；自私的；自私的行为；你觉得我不让她走是自私吗；这样做，多么自私；他把所有的工作都推给你，真是自私
54	1	sexism	性别偏见， 性别歧视	n. 尤指对女性的）性别歧视，性别偏见；旨在抵制工作场所的性别歧视的法规；对语言中存在的性别歧视的研究
55	1	commission	委任状；委员会；佣金，回扣；授权，委托；委任， 委托	v. 正式委托（谱写、制作、创作或完成）；她已受委托谱写新国歌；委托做一项研究；写一份报告；特别委托谱写的乐曲；消费者口味调查是由当地商店委托进行的
56	1	headline	大字标题； 新闻提要	v. 给（报道、文章）加标题；报道的标题是“回到未来”；是（音乐会或演出的）主角；音乐会将由埃德·希兰主唱；adj. 新闻；特别重要；这个故事连续两周成为头条新闻
58	1	rational	理性的， 理智的； 合理的	行为、思想等；合理的；理性的；明智的；合理的论点；选择；决定；有道理的分析
59	1	policy	政策， 方针； 保险单	政策；方针；现政府的教育政策；那家公司对店内行窃采取了严厉的措施；预计新任经理将实施新政策；我们设法奉行中立的政策；我们的政策是不评论这类问题
60	1	editorial	编辑的，主笔的，编者的；社论的，社论式的；社论， 重要评论	adj. 编辑的；编者的；主编的；杂志的全体编辑人员；议会中的一些辩论是现场直播的，不受编辑控制；该报遵循高度重视外国新闻的编辑政策；稿件取舍决定；n. 英式英语也作；报章的）社论；（美国电台或电视台的）评论
61	1	resume	重新开始， 继续， 恢复；摘要， 概要； 简历	v. 重新开始；（中断后）继续；重新进行会谈；谈判；时隔六年之后她又开始了自己的职业生涯；噪声再起，比先前更大；目前还没有恢复和谈的迹象
62	1	rebuild	重建， 改造； 复原	v. 重建；重组；重新装配；地震过后，人们开始重建家园；他用废弃的汽车零件重新组装了发动机；飓风之后完全重建该地区可能要用十年的时间
63	1	committee	委员会， 全体委员	n. 委员会；执行；咨询；组织委员会；议会；国会
64	1	namely	即， 也就是	我们须针对我们的目标观众，即年龄在；岁之间的女性
66	1	union	工会， 联盟； 联合， 团结； 一致	n. 英式英语也作；美式英语也作；工会；我已经加入工会；英格兰的教师工会要求得到同苏格兰一样的改善；工会领袖
67	1	plentiful	丰富的， 充足的； 大量的	adj. 文学用语；大量的；众多的；充足的；丰富的；充足的食物供应；那个时期工作岗位多得很
69	1	component	组成的， 构成的；组成部分，部件，组件	adj. 构成的；组成的；把问题拆分为几个组成部分
70	1	consultant	顾问； 会诊医师， 专科医生	n. 顾问；技术；设计顾问；她显然正在接受形象顾问的指导；总统的经济事务顾问；他很乐意担任公司的顾问
71	1	sunset	日落； 晚霞	n. 日落；傍晚；每天傍晚日落时都要降旗；adj. 霞红色的；浅橘红色的；日落黄；衰落的；最后期的；这是他五十年歌手生涯结束前最后一次巡回演出；法律或法律效力；定期废止的；v. 法律或法律效力；使）定期届满废止；税款减免将在一年后废止
72	1	obvious	明显的	明显的；显然的；易理解的；我知道你不喜欢她，但尽量别表现得那么明显；他同意了，显然很高兴；机器故障很快就显现出来了；很明显这部电影的预算很低；显然需要做出改变
73	1	illustration	说明， 图解， 例证	n. 书、杂志等中的）图表，插图；张全彩色插图；动物、鸟类和植物的详细插图；一卷由爱德华·伯恩；琼斯绘制插图的乔叟著作；他为儿童读物制作插图
74	1	disguise	假扮，化装，伪装；掩盖，掩饰；用来伪装的东西； 伪装， 掩饰	v. 假扮；装扮；伪装；劫持者伪装得严严实实；他们装扮成保安人员混了进去；她巧妙地扮成警察；她女扮男装
76	1	surgery	外科， 外科手术； 手术室	n. 外科手术；外科学；大手术；小手术；接受心脏；膝盖；肩部手术；他的左膝需要做手术
77	1	liberal	心胸宽大的， 慷慨的； 自由的， 自由主义的	adj. 宽宏大度的；心胸宽阔的；开明的；开明的态度；观点；意见；在我们成长的过程中，我的父母非常开明；n. 理解且尊重他人意见的人；宽容的人；开明的人；他喜欢以开明人士自居
78	1	violent	暴力引起的， 暴力的； 猛烈的， 剧烈的	adj. 暴力的；强暴的；暴力犯罪；罪犯；暴力抗议；袭击；事件
79	1	harmony	调和， 协调， 和谐	n. 褒义词；融洽；和睦；社会；种族融洽；他们和谐地生活在一起；同我们的环境协调的必要
80	1	resolve	解决， 解答； 决定， 决意	n. 正式用语；决心；坚定的信念；她所遇到的困难只是让她更加坚定；这是对他毅力和决心的考验；她的决心并没有减弱；政府重申一定要查个水落石出
